Date, UserID, Scenario, Branch, Variable, Action, NewValue, OldValue, ChangeID, ScenarioID, BranchID, VariableID, NewValue, OldValue
2015/12/01 06:54:29,SYL,,,[General]StartYear,Area-wide setting changed,1980,2010,   15,0,0,0,1980,2010
2015/12/01 06:54:29,SYL,,,[General]EndYear,Area-wide setting changed,2009,2015,   15,0,0,0,2009,2015
2015/12/01 06:54:29,SYL,,,[General]Scenarios,Area-wide setting changed,"(""Reference"", ""rcp26"", ""rcp45"", ""rcp60"", ""rcp85"")","(""Reference"")",   15,0,0,0,"(""Reference"", ""rcp26"", ""rcp45"", ""rcp60"", ""rcp85"")","(""Reference"")"
2015/12/01 07:00:35,SYL,Current Accounts,Demand Sites and Catchments\City Creek watershed,Precipitation,New expression,"ReadFromFile(C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv, , , Average)","ReadFromFile(C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv, , , Average)",   1,1,103,125,"@F050('C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv', ', , 8')","@F050('C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv',' , , 8')"
2015/12/01 07:00:35,SYL,Current Accounts,Demand Sites and Catchments\City Creek watershed,Precipitation,New expression,"ReadFromFile(C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv, , , Average)","ReadFromFile(C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv, , , Average)",   1,1,103,125,"@F050('C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv',' , , 8')","@F050('C:\Users\Seungyub\Dropbox\PHD\2015-Fall\2015-Fall-Hydroinformatics\3.Class-Material\Wk#14\1\SaltLakeAirport.csv', ', , 8')"
2015/12/01 07:00:39,SYL,Current Accounts,Demand Sites and Catchments\City Creek watershed,Area,New expression,46,45,   1,1,103,137,46,45
2015/12/01 07:00:42,SYL,,,,Area saved,,,   4,0,0,0,,
2015/12/01 07:00:50,SYL,Current Accounts,,,Calculate results,0:0:00.030,0 seconds per year (Catchments calculated: 4 of 4),   14,1,0,0,0:0:00.030,0 seconds per year (Catchments calculated: 4 of 4)
2015/12/01 07:00:50,SYL,Reference,,,Calculate results,0:0:00.199,0 seconds per year (Catchments calculated: 4 of 4),   14,2,0,0,0:0:00.199,0 seconds per year (Catchments calculated: 4 of 4)
2015/12/01 07:00:51,SYL,rcp26,,,Calculate results,0:0:00.204,0 seconds per year (Catchments calculated: 4 of 4),   14,3,0,0,0:0:00.204,0 seconds per year (Catchments calculated: 4 of 4)
2015/12/01 07:00:51,SYL,rcp45,,,Calculate results,0:0:00.203,0 seconds per year (Catchments calculated: 4 of 4),   14,4,0,0,0:0:00.203,0 seconds per year (Catchments calculated: 4 of 4)
2015/12/01 07:00:51,SYL,rcp60,,,Calculate results,0:0:00.203,0 seconds per year (Catchments calculated: 4 of 4),   14,5,0,0,0:0:00.203,0 seconds per year (Catchments calculated: 4 of 4)
2015/12/01 07:00:51,SYL,rcp85,,,Calculate results,0:0:00.200,0 seconds per year (Catchments calculated: 4 of 4),   14,6,0,0,0:0:00.200,0 seconds per year (Catchments calculated: 4 of 4)
